"Source:","/media/andi/PortableApps/home assistant/KiCAD/CC dimmer low voltage/CC dimmer low voltage.kicad_sch"
"Date:","Wed 29 Dec 2021 11:27:57 CET"
"Tool:","Eeschema 6.0.0-d3dd2cf0fa~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","99"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC","Purchase"
"","","C11","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1810261827_CCTC-TCC0805X7R104K500DT_C282732.pdf","C282732","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_CCTC-TCC0805X7R104K500DT_C282732.html"
"","","C12","1u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1912111437_CCTC-TCC0805X7R105M500FT_C376929.pdf","C376929","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_CCTC-TCC0805X7R105M500FT_C376929.html"
"","","C21","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1810261827_CCTC-TCC0805X7R104K500DT_C282732.pdf","C282732","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_CCTC-TCC0805X7R104K500DT_C282732.html"
"","","C22","1u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1912111437_CCTC-TCC0805X7R105M500FT_C376929.pdf","C376929","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_CCTC-TCC0805X7R105M500FT_C376929.html"
"","","C31","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1810261827_CCTC-TCC0805X7R104K500DT_C282732.pdf","C282732","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_CCTC-TCC0805X7R104K500DT_C282732.html"
"","","C32","1u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1912111437_CCTC-TCC0805X7R105M500FT_C376929.pdf","C376929","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_CCTC-TCC0805X7R105M500FT_C376929.html"
"","","C41","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1810261827_CCTC-TCC0805X7R104K500DT_C282732.pdf","C282732","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_CCTC-TCC0805X7R104K500DT_C282732.html"
"","","C42","1u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1912111437_CCTC-TCC0805X7R105M500FT_C376929.pdf","C376929","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_CCTC-TCC0805X7R105M500FT_C376929.html"
"","","C51","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1810261827_CCTC-TCC0805X7R104K500DT_C282732.pdf","C282732","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_CCTC-TCC0805X7R104K500DT_C282732.html"
"","","C52","1u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1912111437_CCTC-TCC0805X7R105M500FT_C376929.pdf","C376929","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_CCTC-TCC0805X7R105M500FT_C376929.html"
