Comment,Designator,Footprint,LCSC
10nF,C100,Capacitor_SMD:C_0805_2012Metric,C2688117
470uF,C101,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,C2760863
100nF,"C10,C11,C21,C31,C41,C51,C61,C71,C81",Capacitor_SMD:C_0805_2012Metric,C282732
1uF,"C12,C22,C32,C42,C52,C62,C72,C82",Capacitor_SMD:C_0805_2012Metric,C376929
220uF,C200,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,C59330
BZT52C10,D100,Diode_SMD:D_SOD-323,C353564
Pow LED,D200,Diode_SMD:D_1206_3216Metric,C130716
MBR0560,"D1,D2,D3,D4,D5,D6,D7,D8",Diode_SMD:D_SOD-123,C77338
5A fast,F100,Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open,C58066
1A,F200,Resistor_SMD:R_0805_2012Metric,C369152
Screw_Terminal_01x02,"IN1,LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8",TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type101_RT01602HBWC_1x02_P5.08mm_Horizontal,C474881
Conn_01x06_Male,J110,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Horizontal,C492431
Conn_01x03_Male,J120,Connector_JST:JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,C144402
Conn_01x04_Male,J130,Connector_JST:JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,C144403
100uH,"L1,L2,L3,L4,L5,L6,L7,L8",Inductor_SMD:L_Bourns_SRN6045TA,C439379
BR50P06,Q100,Package_TO_SOT_THT:TO-220-3_Vertical,C358396
82k,R100,Resistor_SMD:R_0805_2012Metric,C229256
4k7,R20,Resistor_SMD:R_0805_2012Metric,C229219
3k3,R200,Resistor_SMD:R_0805_2012Metric,C26020
0R36,"R1,R2,R3,R4,R5,R6,R7,R8",Resistor_SMD:R_0805_2012Metric,C35793
PT4115,"U1,U2,U3,U4,U5,U6,U7,U8",Package_TO_SOT_SMD:SOT-89-5,C84512
DS18B20,U20,Package_TO_SOT_THT:TO-92_Inline,C376006
