Comment,Designator,Footprint,LCSC
10nF,C100,Capacitor_SMD:C_0805_2012Metric,C2688117
100nF,"C10,C11,C21,C31,C41,C51,C61,C71,C81",Capacitor_SMD:C_0805_2012Metric,C282732
1uF,"C12,C22,C32,C42,C52,C62,C72,C82",Capacitor_SMD:C_0805_2012Metric,C376929
BZT52C10,D100,Diode_SMD:D_SOD-323,C353564
Pow LED,D200,Diode_SMD:D_1206_3216Metric,C130716
MBR0560,"D1,D2,D3,D4,D5,D6,D7,D8",Diode_SMD:D_SOD-123,C77338
1A,F200,Resistor_SMD:R_0805_2012Metric,C369152
100uH,"L1,L2,L3,L4,L5,L6,L7,L8",Inductor_SMD:L_Bourns_SRN6045TA,C439379
82k,R100,Resistor_SMD:R_0805_2012Metric,C229256
4k7,R20,Resistor_SMD:R_0805_2012Metric,C229219
3k3,R200,Resistor_SMD:R_0805_2012Metric,C26020
0R36,"R1,R2,R3,R4,R5,R6,R7,R8",Resistor_SMD:R_0805_2012Metric,C35793
PT4115,"U1,U2,U3,U4,U5,U6,U7,U8",Package_TO_SOT_SMD:SOT-89-5,C84512
