Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,100nF,C_0805_2012Metric,136.807,-85.285,0,top
C11,100nF,C_0805_2012Metric,164.432,-77.315,0,top
C12,1uF,C_0805_2012Metric,164.582,-64.275,90,top
C21,100nF,C_0805_2012Metric,174.592,-77.325,0,top
C22,1uF,C_0805_2012Metric,174.752,-64.315,90,top
C31,100nF,C_0805_2012Metric,184.772,-77.365,0,top
C32,1uF,C_0805_2012Metric,184.982,-64.275,90,top
C41,100nF,C_0805_2012Metric,194.952,-77.345,0,top
C42,1uF,C_0805_2012Metric,195.162,-64.275,90,top
C51,100nF,C_0805_2012Metric,200.852,-82.265,180,top
C52,1uF,C_0805_2012Metric,200.922,-95.815,270,top
C61,100nF,C_0805_2012Metric,190.602,-82.325,180,top
C62,1uF,C_0805_2012Metric,190.692,-95.815,270,top
C71,100nF,C_0805_2012Metric,180.372,-82.275,180,top
C72,1uF,C_0805_2012Metric,180.562,-95.815,270,top
C81,100nF,C_0805_2012Metric,170.192,-82.275,180,top
C82,1uF,C_0805_2012Metric,170.352,-95.835,270,top
C100,10nF,C_0805_2012Metric,151.482,-51.895,180,top
D1,MBR0560,D_SOD-123,169.992,-75.595,90,top
D2,MBR0560,D_SOD-123,180.272,-75.625,90,top
D3,MBR0560,D_SOD-123,190.462,-75.665,90,top
D4,MBR0560,D_SOD-123,200.642,-75.685,90,top
D5,MBR0560,D_SOD-123,195.252,-83.575,270,top
D6,MBR0560,D_SOD-123,185.042,-83.565,270,top
D7,MBR0560,D_SOD-123,174.792,-83.545,270,top
D8,MBR0560,D_SOD-123,164.622,-83.535,270,top
D100,BZT52C10,D_SOD-323,146.442,-63.295,180,top
D200,Pow LED,D_1206_3216Metric,122.507,-68.675,90,top
F200,1A,R_0805_2012Metric,135.772,-63.295,0,top
L1,100uH,L_Bourns_SRN6045TA,169.172,-66.035,90,top
L2,100uH,L_Bourns_SRN6045TA,179.302,-66.045,90,top
L3,100uH,L_Bourns_SRN6045TA,189.512,-66.035,90,top
L4,100uH,L_Bourns_SRN6045TA,199.682,-66.035,90,top
L5,100uH,L_Bourns_SRN6045TA,196.232,-94.055,270,top
L6,100uH,L_Bourns_SRN6045TA,186.022,-94.065,270,top
L7,100uH,L_Bourns_SRN6045TA,175.842,-94.075,270,top
L8,100uH,L_Bourns_SRN6045TA,165.642,-94.085,270,top
R1,0R36,R_0805_2012Metric,163.682,-68.165,270,top
R2,0R36,R_0805_2012Metric,173.812,-68.165,270,top
R3,0R36,R_0805_2012Metric,183.952,-68.135,270,top
R4,0R36,R_0805_2012Metric,194.182,-68.185,270,top
R5,0R36,R_0805_2012Metric,201.712,-92.015,90,top
R6,0R36,R_0805_2012Metric,191.532,-92.045,90,top
R7,0R36,R_0805_2012Metric,181.412,-92.015,90,top
R8,0R36,R_0805_2012Metric,171.202,-91.985,90,top
R20,4k7,R_0805_2012Metric,135.772,-65.57,0,top
R100,82k,R_0805_2012Metric,142.652,-63.295,0,top
R200,3k3,R_0805_2012Metric,122.497,-64.22,90,top
U1,PT4115,SOT-89-5,165.332,-73.605,180,top
U2,PT4115,SOT-89-5,175.552,-73.645,180,top
U3,PT4115,SOT-89-5,185.712,-73.615,180,top
U4,PT4115,SOT-89-5,195.932,-73.615,180,top
U5,PT4115,SOT-89-5,199.892,-86.235,0,top
U6,PT4115,SOT-89-5,189.682,-86.255,0,top
U7,PT4115,SOT-89-5,179.462,-86.185,0,top
U8,PT4115,SOT-89-5,169.262,-86.225,0,top
