Comment,Designator,Footprint,LCSC
10nF,"C101,C311,C321",Capacitor_SMD:C_0805_2012Metric,C2688117
1uF,"C12,C22,C32,C42,C52,C62,C72,C82",Capacitor_SMD:C_0805_2012Metric,C376929
100nF,"C11,C21,C31,C41,C51,C61,C71,C81,C331,C421,C601",Capacitor_SMD:C_0805_2012Metric,C282732
BZT52C10,D101,Diode_SMD:D_SOD-323,C353564
Pow,D201,Diode_SMD:D_1206_3216Metric,C400035
MBR0560,"D11,D21,D31,D41,D51,D61,D71,D81",Diode_SMD:D_SOD-123,C77338
1A,F201,Fuse:Fuse_0805_2012Metric,C910823
100uH,"L11,L21,L31,L41,L51,L61,L71,L81",Inductor_SMD:L_Bourns_SRN6045TA,C439379
82k,R101,Resistor_SMD:R_0805_2012Metric,C229256
3k9,R201,Resistor_SMD:R_0805_2012Metric,C26021
10k,"R311,R312,R321,R322",Resistor_SMD:R_0805_2012Metric,C115295
0R36,"R11,R21,R31,R41,R51,R61,R71,R81",Resistor_SMD:R_0805_2012Metric,C115295
39k,"R331,R421",Resistor_SMD:R_0805_2012Metric,C294712
6.8K,"R332,R422",Resistor_SMD:R_0805_2012Metric,C26026
4k7,R701,Resistor_SMD:R_0805_2012Metric,C229219
PT4115,"U11,U21,U31,U41,U51,U61,U71,U81",Package_TO_SOT_SMD:SOT-89-5,C84512
