Designator,Mid X,Mid Y,Layer,Rotation
C401,126.652mm,-75.895mm,top,180
R402,130.652mm,-75.895mm,top,0
R401,126.602mm,-72.395mm,top,0
R306,136.232mm,-89.065mm,top,180
R305,132.952mm,-89.975mm,top,90
R304,122.432mm,-90.005mm,top,270
R303,122.432mm,-93.975mm,top,90
R302,126.277mm,-98.07mm,top,90
R301,122.452mm,-98.045mm,top,270
C305,140.207mm,-89.065mm,top,0
C303,125.032mm,-92.095mm,top,270
C301,125.327mm,-101.245mm,top,180
R71,181.412mm,-92.015mm,top,90
C82,170.352mm,-95.835mm,top,270
U51,199.892mm,-86.235mm,top,0
C52,200.922mm,-95.815mm,top,270
C81,170.192mm,-82.275mm,top,180
R201,122.497mm,-64.22mm,top,90
D101,146.452mm,-63.295mm,top,180
R101,142.652mm,-63.295mm,top,0
D201,122.507mm,-68.675mm,top,90
U11,165.332mm,-73.605mm,top,180
U21,175.552mm,-73.645mm,top,180
U31,185.712mm,-73.615mm,top,180
U41,195.932mm,-73.615mm,top,180
U61,189.682mm,-86.255mm,top,0
U71,179.462mm,-86.185mm,top,0
U81,169.262mm,-86.225mm,top,0
C11,164.432mm,-77.315mm,top,0
C12,164.582mm,-64.275mm,top,90
C21,174.592mm,-77.325mm,top,0
C22,174.752mm,-64.315mm,top,90
C31,184.772mm,-77.365mm,top,0
C32,184.982mm,-64.275mm,top,90
C41,194.952mm,-77.345mm,top,0
C42,195.162mm,-64.275mm,top,90
C51,200.852mm,-82.265mm,top,180
C61,190.602mm,-82.325mm,top,180
C62,190.692mm,-95.815mm,top,270
C71,180.372mm,-82.275mm,top,180
C72,180.562mm,-95.815mm,top,270
C101,151.482mm,-51.895mm,top,180
C601,136.807mm,-85.285mm,top,0
R701,135.772mm,-65.57mm,top,0
D11,169.992mm,-75.595mm,top,90
D21,180.272mm,-75.625mm,top,90
D31,190.462mm,-75.665mm,top,90
D41,200.642mm,-75.685mm,top,90
D51,195.252mm,-83.575mm,top,270
D61,185.042mm,-83.565mm,top,270
D71,174.792mm,-83.545mm,top,270
D81,164.622mm,-83.535mm,top,270
R11,163.682mm,-68.165mm,top,270
R21,173.812mm,-68.165mm,top,270
R31,183.952mm,-68.135mm,top,270
R41,194.182mm,-68.185mm,top,270
R51,201.712mm,-92.015mm,top,90
R61,191.532mm,-92.045mm,top,90
R81,171.202mm,-91.985mm,top,90
L11,169.172mm,-66.035mm,top,90
L21,179.302mm,-66.045mm,top,90
L31,189.512mm,-66.035mm,top,90
L41,199.682mm,-66.035mm,top,90
L51,196.232mm,-94.055mm,top,270
L61,186.022mm,-94.065mm,top,270
L71,175.842mm,-94.075mm,top,270
L81,165.642mm,-94.085mm,top,270
F201,135.772mm,-63.295mm,top,0
