Ref,Val,Package,PosX,PosY,Rot,Side
"C11","10uF","C_0805_2012Metric",163.952000,-85.185000,180.000000,top
"C12","1u","C_0805_2012Metric",164.132000,-72.915000,90.000000,top
"C21","10uF","C_0805_2012Metric",174.162000,-85.255000,180.000000,top
"C22","1u","C_0805_2012Metric",174.322000,-72.905000,90.000000,top
"C31","10uF","C_0805_2012Metric",184.332000,-85.235000,180.000000,top
"C32","1u","C_0805_2012Metric",184.542000,-72.895000,90.000000,top
"C41","10uF","C_0805_2012Metric",194.552000,-85.245000,180.000000,top
"C42","1u","C_0805_2012Metric",194.722000,-72.875000,90.000000,top
"C51","10uF","C_0805_2012Metric",200.422000,-94.065000,0.000000,top
"C52","1u","C_0805_2012Metric",200.492000,-106.945000,-90.000000,top
"C61","10uF","C_0805_2012Metric",190.182000,-94.085000,0.000000,top
"C62","1u","C_0805_2012Metric",190.262000,-106.935000,-90.000000,top
"C71","10uF","C_0805_2012Metric",179.942000,-94.085000,0.000000,top
"C72","1u","C_0805_2012Metric",180.142000,-106.935000,-90.000000,top
"C81","10uF","C_0805_2012Metric",169.752000,-94.095000,0.000000,top
"C82","1u","C_0805_2012Metric",169.922000,-106.925000,-90.000000,top
"C101","10n","C_0805_2012Metric",143.702000,-61.765000,90.000000,top
"C102","470u","CP_Radial_D10.0mm_P5.00mm",155.640000,-67.317677,90.000000,top
"C201","220u","CP_Radial_D6.3mm_P2.50mm",139.032000,-72.762621,-90.000000,top
"C311","10n","C_0805_2012Metric",125.322000,-111.455000,180.000000,top
"C321","10n","C_0805_2012Metric",124.612000,-102.165000,-90.000000,top
"C331","100n","C_0805_2012Metric",139.152000,-99.345000,0.000000,top
"C411","100n","C_0805_2012Metric",129.352000,-85.565000,0.000000,top
"C601","100n","C_0805_2012Metric",135.820000,-96.370000,180.000000,top
"D11","MBR0560","D_SOD-123",169.562000,-83.555000,90.000000,top
"D21","MBR0560","D_SOD-123",179.842000,-83.585000,90.000000,top
"D31","MBR0560","D_SOD-123",190.032000,-83.625000,90.000000,top
"D41","MBR0560","D_SOD-123",200.212000,-83.645000,90.000000,top
"D51","MBR0560","D_SOD-123",194.832000,-95.445000,-90.000000,top
"D61","MBR0560","D_SOD-123",184.622000,-95.435000,-90.000000,top
"D71","MBR0560","D_SOD-123",174.372000,-95.415000,-90.000000,top
"D81","MBR0560","D_SOD-123",164.222000,-95.435000,-90.000000,top
"D101","BZT52C10","D_SOD-323",148.252000,-72.115000,180.000000,top
"D201","Pow","D_1206_3216Metric",101.380000,-67.363750,180.000000,top
"F101","4A fast","Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open",142.292000,-65.545000,180.000000,top
"F201","1A 6V","Fuse_0805_2012Metric",132.932000,-73.825000,0.000000,top
"F202","0.5A 6V","Fuse_0805_2012Metric",132.922000,-71.685000,0.000000,top
"IN1","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",112.057000,-63.580000,-90.000000,top
"J301","XH-6AW","JST_XH_S6B-XH-A-1_1x06_P2.50mm_Horizontal",108.722000,-87.365000,-90.000000,top
"J401","XH-3AW","JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal",108.712000,-106.035000,-90.000000,top
"J501","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Horizontal",115.262000,-82.405000,180.000000,top
"J801","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",119.982000,-73.635000,0.000000,top
"L11","100u","L_Bourns_SRN6045TA",168.742000,-74.775000,90.000000,top
"L21","100u","L_Bourns_SRN6045TA",178.872000,-74.775000,90.000000,top
"L31","100u","L_Bourns_SRN6045TA",189.072000,-74.715000,90.000000,top
"L41","100u","L_Bourns_SRN6045TA",199.242000,-74.735000,90.000000,top
"L51","100u","L_Bourns_SRN6045TA",195.782000,-105.095000,-90.000000,top
"L61","100u","L_Bourns_SRN6045TA",185.592000,-105.125000,-90.000000,top
"L71","100u","L_Bourns_SRN6045TA",175.412000,-105.115000,-90.000000,top
"L81","100u","L_Bourns_SRN6045TA",165.202000,-105.115000,-90.000000,top
"LED1","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",169.452000,-65.467000,180.000000,top
"LED2","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",179.602000,-65.465000,180.000000,top
"LED3","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",189.752000,-65.455000,180.000000,top
"LED4","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",199.902000,-65.445000,180.000000,top
"LED5","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",195.052000,-114.415000,0.000000,top
"LED6","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",184.882000,-114.415000,0.000000,top
"LED7","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",174.712000,-114.415000,0.000000,top
"LED8","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",164.532000,-114.415000,0.000000,top
"Q101","BR50P06","TO-220-3_Vertical",146.447000,-62.405000,-90.000000,top
"Q801","BSS138","SOT-23",104.192000,-73.646234,180.000000,top
"R11","0R3","R_0805_2012Metric",163.242000,-76.305000,90.000000,top
"R12","1k","R_0805_2012Metric",145.462000,-85.475000,0.000000,top
"R21","0R3","R_0805_2012Metric",173.372000,-76.315000,90.000000,top
"R22","1k","R_0805_2012Metric",145.452000,-87.535000,0.000000,top
"R31","0R3","R_0805_2012Metric",183.522000,-76.295000,90.000000,top
"R32","1k","R_0805_2012Metric",141.752000,-103.135000,0.000000,top
"R41","0R3","R_0805_2012Metric",193.752000,-76.265000,90.000000,top
"R42","1k","R_0805_2012Metric",141.752000,-105.685000,0.000000,top
"R51","0R3","R_0805_2012Metric",201.272000,-103.515000,-90.000000,top
"R52","1k","R_0805_2012Metric",154.430000,-96.560000,0.000000,top
"R61","0R3","R_0805_2012Metric",191.092000,-103.475000,-90.000000,top
"R62","1k","R_0805_2012Metric",158.892000,-98.205000,180.000000,top
