Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C11,10uF,C_0805_2012Metric,166.41,-85.08,180,top
C12,1uF,C_0805_2012Metric,166.59,-72.81,90,top
C21,10uF,C_0805_2012Metric,176.62,-85.15,180,top
C22,1uF,C_0805_2012Metric,176.78,-72.8,90,top
C31,10uF,C_0805_2012Metric,186.79,-85.13,180,top
C32,1uF,C_0805_2012Metric,187,-72.79,90,top
C41,10uF,C_0805_2012Metric,197.01,-85.14,180,top
C42,1uF,C_0805_2012Metric,197.18,-72.77,90,top
C51,10uF,C_0805_2012Metric,200.422,-94.065,0,top
C52,1uF,C_0805_2012Metric,200.492,-106.945,-90,top
C61,10uF,C_0805_2012Metric,190.182,-94.085,0,top
C62,1uF,C_0805_2012Metric,190.262,-106.935,-90,top
C71,10uF,C_0805_2012Metric,179.942,-94.085,0,top
C72,1uF,C_0805_2012Metric,180.142,-106.935,-90,top
C81,10uF,C_0805_2012Metric,169.74,-94.06,0,top
C82,1uF,C_0805_2012Metric,169.922,-106.925,-90,top
C101,10nF,C_0805_2012Metric,144.17,-62.1,90,top
C311,10nF,C_0805_2012Metric,124.15,-109.86,90,top
C321,10nF,C_0805_2012Metric,124.13,-99.15,-90,top
C331,100nF,C_0805_2012Metric,124.15,-106.31,-90,top
C411,100nF,C_0805_2012Metric,127.46,-86.09,180,top
C601,100nF,C_0805_2012Metric,136.81,-95.42,180,top
D11,B5817W,D_SOD-123,172.02,-83.45,90,top
D21,B5817W,D_SOD-123,182.3,-83.48,90,top
D31,B5817W,D_SOD-123,192.49,-83.52,90,top
D41,B5817W,D_SOD-123,202.67,-83.54,90,top
D51,B5817W,D_SOD-123,194.832,-95.445,-90,top
D61,B5817W,D_SOD-123,184.622,-95.435,-90,top
D71,B5817W,D_SOD-123,174.372,-95.415,-90,top
D81,B5817W,D_SOD-123,164.21,-95.35,-90,top
D101,BZT52C10,D_SOD-123,148.18,-72.11,180,top
D201,Pow,D_0805_2012Metric,100.89,-67.07,180,top
F201,1.1A 6V,Fuse_0805_2012Metric,129.36,-73.8,0,top
F202,0.5A 6V,Fuse_0805_2012Metric,129.35,-71.66,0,top
L11,100uH,L_Bourns_SRN6045TA,171.2,-74.67,90,top
L21,100uH,L_Bourns_SRN6045TA,181.33,-74.67,90,top
L31,100uH,L_Bourns_SRN6045TA,191.53,-74.61,90,top
L41,100uH,L_Bourns_SRN6045TA,201.7,-74.63,90,top
L51,100uH,L_Bourns_SRN6045TA,195.782,-105.095,-90,top
L61,100uH,L_Bourns_SRN6045TA,185.592,-105.125,-90,top
L71,100uH,L_Bourns_SRN6045TA,175.412,-105.115,-90,top
L81,100uH,L_Bourns_SRN6045TA,165.202,-105.115,-90,top
Q801,BSS138,SOT-23,106.9275,-73.63,0,top
R11,0.3Ω,R_0805_2012Metric,165.7,-76.2,90,top
R12,1kΩ,R_0805_2012Metric,145.462,-85.475,0,top
R21,0.3Ω,R_0805_2012Metric,175.83,-76.21,90,top
R22,1kΩ,R_0805_2012Metric,145.452,-87.535,0,top
R31,0.3Ω,R_0805_2012Metric,185.98,-76.19,90,top
R32,1kΩ,R_0805_2012Metric,147.72,-92.71,90,top
R41,0.3Ω,R_0805_2012Metric,196.21,-76.16,90,top
R42,1k,R_0805_2012Metric,151.06,-92.69,90,top
R51,0.3Ω,R_0805_2012Metric,201.272,-103.515,-90,top
R52,1kΩ,R_0805_2012Metric,160.125479,-96.544521,0,top
R61,0.3Ω,R_0805_2012Metric,191.092,-103.475,-90,top
R62,1kΩ,R_0805_2012Metric,156.18,-98.09,180,top
R71,0.3Ω,R_0805_2012Metric,180.972,-103.475,-90,top
R72,1kΩ,R_0805_2012Metric,148.15,-111.22,0,top
R81,0.3Ω,R_0805_2012Metric,170.752,-103.495,-90,top
R82,1kΩ,R_0805_2012Metric,160.145,-99.575,0,top
R101,82kΩ,R_0805_2012Metric,144.01,-72.12,0,top
R201,3k9Ω,R_0805_2012Metric,100.15,-69.78,-90,top
R311,10kΩ,R_0805_2012Metric,122,-106.28,-90,top
R312,10kΩ,R_0805_2012Metric,122,-109.86,90,top
R321,10kΩ,R_0805_2012Metric,122.02,-102.71,90,top
R322,10kΩ,R_0805_2012Metric,122.022,-99.155,-90,top
R331,39kΩ,R_0805_2012Metric,124.14,-102.7,90,top
R332,6k8Ω,R_0805_2012Metric,127,-102.71,90,top
R411,39kΩ,R_0805_2012Metric,127.45,-81.95,180,top
R412,6k8Ω,R_0805_2012Metric,127.46,-84.01,180,top
R701,4k7Ω,R_0805_2012Metric,129.37,-75.94,180,top
R801,10kΩ,R_0805_2012Metric,103.88,-73.63,90,top
R802,10kΩ,R_0805_2012Metric,109.9575,-73.63,90,top
R803,33Ω,R_0805_2012Metric,112.08,-73.61,-90,top
R804,220Ω,R_0805_2012Metric,114.21,-73.6275,-90,top
U11,PT4115,SOT-89-5,167.38,-81.46,180,top
U21,PT4115,SOT-89-5,177.59,-81.5,180,top
U31,PT4115,SOT-89-5,187.74,-81.47,180,top
U41,PT4115,SOT-89-5,197.96,-81.47,180,top
U51,PT4115,SOT-89-5,199.472,-98.105,0,top
U61,PT4115,SOT-89-5,189.262,-98.125,0,top
U71,PT4115,SOT-89-5,179.042,-98.055,0,top
U81,PT4115,SOT-89-5,168.862,-98.085,0,top
